,fast_ma,slow_ma,profit,end_capital,number_of_trades
412,38,67,-0.1069,8931,14
600,25,70,-0.10709999999999997,8929,14
564,57,69,-0.10709999999999997,8929,16
780,66,72,-0.10729999999999995,8927,20
882,25,74,-0.10740000000000005,8926,14
1093,14,77,-0.10740000000000005,8926,16
1231,76,78,-0.10750000000000004,8925,24
1161,6,78,-0.10760000000000003,8924,20
744,30,72,-0.10760000000000003,8924,14
612,37,70,-0.10770000000000002,8923,14
669,25,71,-0.1078,8922,14
1170,15,78,-0.1078,8922,16
880,23,74,-0.1079,8921,14
367,58,66,-0.1079,8921,18
406,32,67,-0.10809999999999997,8919,14
1250,18,79,-0.10809999999999997,8919,14
47,48,61,-0.1089,8911,16
793,8,73,-0.1089,8911,22
865,8,74,-0.1089,8911,22
347,38,66,-0.10899999999999999,8910,14
811,26,73,-0.10919999999999996,8908,14
496,56,68,-0.10950000000000004,8905,16
795,10,73,-0.10950000000000004,8905,20
881,24,74,-0.10950000000000004,8905,14
296,51,65,-0.10960000000000003,8904,14
297,52,65,-0.10970000000000002,8903,14
648,4,71,-0.10980000000000001,8902,26
227,45,64,-0.1099,8901,14
829,44,73,-0.10999999999999999,8900,14
740,26,72,-0.10999999999999999,8900,14
1027,23,76,-0.11009999999999998,8899,14
737,23,72,-0.11009999999999998,8899,14
808,23,73,-0.11029999999999995,8897,14
386,12,67,-0.11040000000000005,8896,16
1334,24,80,-0.11040000000000005,8896,16
725,11,72,-0.11050000000000004,8895,20
1252,20,79,-0.11070000000000002,8893,14
771,57,72,-0.1109,8891,14
718,4,72,-0.11099999999999999,8890,26
195,13,64,-0.11099999999999999,8890,16
432,58,67,-0.11119999999999997,8888,16
298,53,65,-0.11140000000000005,8886,16
473,33,68,-0.11150000000000004,8885,14
607,32,70,-0.11150000000000004,8885,14
1182,27,78,-0.11160000000000003,8884,16
1257,25,79,-0.11160000000000003,8884,16
362,53,66,-0.11170000000000002,8883,14
322,13,66,-0.1119,8881,16
1030,26,76,-0.11199999999999999,8880,14
601,26,70,-0.11199999999999999,8880,14
1104,25,77,-0.11199999999999999,8880,14
951,21,75,-0.11199999999999999,8880,14
741,27,72,-0.11209999999999998,8879,14
1092,13,77,-0.11229999999999996,8877,16
809,24,73,-0.11240000000000006,8876,14
1017,13,76,-0.11250000000000004,8875,16
284,39,65,-0.11260000000000003,8874,14
224,42,64,-0.11260000000000003,8874,14
453,13,68,-0.11270000000000002,8873,16
670,26,71,-0.11270000000000002,8873,14
387,13,67,-0.11299999999999999,8870,16
996,66,75,-0.11309999999999998,8869,16
1099,20,77,-0.11319999999999997,8868,14
931,1,75,-0.11380000000000001,8862,32
423,49,67,-0.11399999999999999,8860,14
807,22,73,-0.11409999999999998,8859,14
1175,20,78,-0.11409999999999998,8859,14
97,38,62,-0.11419999999999997,8858,16
1251,19,79,-0.11419999999999997,8858,14
215,33,64,-0.11429999999999996,8857,16
402,28,67,-0.11429999999999996,8857,16
566,59,69,-0.11450000000000005,8855,16
433,59,67,-0.11509999999999998,8849,18
533,26,69,-0.11519999999999997,8848,14
878,21,74,-0.11519999999999997,8848,16
840,55,73,-0.11529999999999996,8847,14
1325,15,80,-0.11529999999999996,8847,16
789,4,73,-0.11539999999999995,8846,28
861,4,74,-0.11539999999999995,8846,28
689,45,71,-0.11570000000000003,8843,14
1338,28,80,-0.11580000000000001,8842,16
611,36,70,-0.1159,8841,14
73,14,62,-0.11629999999999996,8837,16
342,33,66,-0.11639999999999995,8836,14
14,15,61,-0.11639999999999995,8836,16
440,66,67,-0.11650000000000005,8835,28
1029,25,76,-0.11680000000000001,8832,14
295,50,65,-0.11699999999999999,8830,14
911,54,74,-0.11709999999999998,8829,14
852,67,73,-0.11719999999999997,8828,20
621,46,70,-0.11719999999999997,8828,14
234,52,64,-0.11739999999999995,8826,16
465,25,68,-0.118,8820,16
452,12,68,-0.11819999999999997,8818,16
1172,17,78,-0.11839999999999995,8816,16
1061,57,76,-0.11860000000000004,8814,14
134,14,63,-0.11860000000000004,8814,16
223,41,64,-0.119,8810,14
214,32,64,-0.11929999999999996,8807,16
883,26,74,-0.11950000000000005,8805,14
952,22,75,-0.11960000000000004,8804,14
599,24,70,-0.11980000000000002,8802,16
606,31,70,-0.12009999999999998,8799,14
416,42,67,-0.12019999999999997,8798,14
690,46,71,-0.12039999999999995,8796,14
759,45,72,-0.12039999999999995,8796,14
1230,75,78,-0.12070000000000003,8793,24
488,48,68,-0.12070000000000003,8793,14
107,48,62,-0.12080000000000002,8792,16
953,23,75,-0.12090000000000001,8791,14
770,56,72,-0.12109999999999999,8789,14
1135,56,77,-0.12109999999999999,8789,14
1181,26,78,-0.12119999999999997,8788,16
1351,41,80,-0.12129999999999996,8787,14
519,12,69,-0.12139999999999995,8786,16
933,3,75,-0.12150000000000005,8785,28
361,52,66,-0.12160000000000004,8784,14
277,32,65,-0.12219999999999998,8778,16
860,3,74,-0.12229999999999996,8777,28
554,47,69,-0.12239999999999995,8776,14
400,26,67,-0.12290000000000001,8771,16
287,42,65,-0.12290000000000001,8771,14
1007,3,76,-0.12309999999999999,8769,28
988,58,75,-0.12350000000000005,8765,14
1260,28,79,-0.12350000000000005,8765,16
244,62,64,-0.12390000000000001,8761,28
487,47,68,-0.124,8760,14
573,66,69,-0.12429999999999997,8757,26
1249,17,79,-0.12439999999999996,8756,16
1183,28,78,-0.12460000000000004,8754,16
359,50,66,-0.12470000000000003,8753,14
431,57,67,-0.12480000000000002,8752,16
407,33,67,-0.12490000000000001,8751,14
289,44,65,-0.1251,8749,14
415,41,67,-0.12539999999999996,8746,14
842,57,73,-0.12549999999999994,8745,14
675,31,71,-0.12549999999999994,8745,14
434,60,67,-0.12549999999999994,8745,20
1018,14,76,-0.12560000000000004,8744,18
1059,55,76,-0.126,8740,14
879,22,74,-0.126,8740,14
422,48,67,-0.1261,8739,14
95,36,62,-0.12629999999999997,8737,16
230,48,64,-0.12629999999999997,8737,14
1174,19,78,-0.12629999999999997,8737,14
472,32,68,-0.12639999999999996,8736,14
1091,12,77,-0.12649999999999995,8735,18
98,39,62,-0.12660000000000005,8734,16
1258,26,79,-0.12739999999999996,8726,16
222,40,64,-0.12749999999999995,8725,14
1303,71,79,-0.12760000000000005,8724,16
955,25,75,-0.12770000000000004,8723,14
357,48,66,-0.1279,8721,14
421,47,67,-0.128,8720,14
35,36,61,-0.1281,8719,16
1380,70,80,-0.12839999999999996,8716,14
399,25,67,-0.12929999999999997,8707,16
